,DPSA1,FNSA3,FPSA1,MW,nCl,FPSA3,nH,MOMI-X,MOMI-Y,MOMI-Z,FilterItLogS,SLogP,label
877,331.1252688347545,-0.040494463320103466,0.7433385655362871,325.2253084720008,0,0.03866160265754787,31,10756.345941663278,10561.074313657751,771.3450390128928,-4.184478866675115,2.3659,1
878,166.59390202892357,-0.040164916195182566,0.6819010848276968,266.1167610680003,0,0.039068245921531915,14,2269.45105775438,1461.2027345451254,1025.549991394706,-3.950038807367465,2.6512200000000004,1
879,224.07566632197685,-0.063306764153405,0.6673322061805366,426.2067189440007,0,0.036379373353954254,27,11859.758335771436,10972.965183668826,1326.6553200135568,-5.486072983326631,3.0813200000000016,1
880,115.68933973391475,-0.10634645184853668,0.6712226292023598,131.094628656,0,0.055257238580371786,13,1205.4701220950806,1144.8947799327668,77.74139591357243,-0.8826387308290341,0.5901000000000001,1
881,136.46785370208136,-0.07721540199202691,0.6255824521782353,341.1175695920004,0,0.043870411399869656,16,5308.5324566668405,4851.179348010264,1131.704848660118,-3.9530587013771608,2.619800000000001,1
882,222.20091205639042,-0.052549068152884286,0.7007057752807268,314.12665705600045,0,0.040678828463559684,18,3670.946588110792,3041.3397217922447,1336.374292402955,-2.8696589024061523,2.3548,0
883,699.2312712550026,-0.04255823097444302,0.7438225085325559,1213.841367992003,0,0.02599063183718401,111,58789.48070120189,47088.791829381065,17094.010196528856,-8.828250221513287,3.723200000000003,1
884,-35.91999989975306,-0.07096021974980501,0.4733815759500632,440.1596885000006,0,0.03971699134902735,20,7610.042238925919,6816.984275889463,2542.251553395835,-6.260803845452428,4.028600000000003,1
885,244.09305891917825,-0.05834193520149464,0.6618211026973501,507.26545903200105,0,0.02923700837776158,41,11958.986090438186,10133.030906005113,2798.7167014331612,-4.630377626672302,4.477520000000005,1
886,237.8077170241777,-0.034109219924516335,0.7276813221739892,269.16404560800044,0,0.04977448509226354,19,4152.318659054161,3591.9859812594786,870.3532654216951,-3.858504770749063,1.9118,0
887,276.14934995330617,-0.05203024013548839,0.6326780196977575,747.2704767320012,1,0.03182327628955865,46,19372.00686938072,14859.507884254606,8397.338229202585,-6.765305588410594,3.8538000000000032,1
888,567.785480302487,-0.05396589867463903,0.7557108359416226,718.4768316920018,0,0.03517707174679219,66,23145.683949188686,15031.28417254565,11777.577488423069,-2.873409637839881,5.049900000000006,1
